Player,Rank,ID,.,Tm,Pos,#,Hgt,Wgt,WS,Age,Exp,Drafted,College,Hometown,Nationality,Secondary,Salary,Ct,Personality,NYAMBI,G,GS,MPG,PPG,RPG,APG,SPG,BPG,TPG,FG%,FT%,3P%,TS%,eFG%,OBPM,DBPM,BPM,OWS,DWS,WS.1,WS48,ORtg,DRtg,NetRtg,PER,EWA,VORP,ORB%,DRB%,REB%,AST%,STL%,BLK%,TOV%,USG%,$/WS,$/WS48,Cur,Pot,Off Archetype,Def Archetype,InsS,MidS,OutS,FrT,SlfC,ShtD,BalD,FlDr,Fnsh,Play,Pass,Grav,Spac,Hndl,Iso,PstE,PnrE,BBIQ,OnBD,OffD,Help,Stl,PstD,RimP,OffR,DefR,Ath,End,FstS,Quck,Spd,Str,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,MIN_adv,PER_adv,EWA_adv,OWS_adv,DWS_adv,WS_adv,WS48_adv,BPM_adv,OBPM_adv,DBPM_adv,VORP_adv,WARP,DRE,AWS,ORtg_adv,DRtg_adv,NetRtg_adv,RAPM,ORAPM,DRAPM,TS%_adv,3PAr,FTr,ORB%_adv,DRB%_adv,TRB%_adv,AST%_adv,STL%_adv,BLK%_adv,TOV%_adv,USG%_adv,PM,BoxC,OL,Spc,aTOV,Adj3P%,MIN_hsl,SA,SAPG,CSht,CSPG,DFL,DFPG,LBR,LBPG,CD,CDPG,MIN_shot,RimM,RimA,Rim%,ClsM,ClsA,Cls%,MidM,MidA,Mid%,LngM,LngA,Lng%,SL_3PM,SL_3PA,SL_3P%,SL_FT,SL_FTA,SL_FT%,2PM 0-2ft,2PA 0-2ft,Pct_2PM_0_2ft,2PM 2-4ft,2PA 2-4ft,Pct_2PM_2_4ft,2PM 4-6ft,2PA 4-6ft,Pct_2PM_4_6ft,2PM 6+ft,2PA 6+ft,Pct_2PM_6plus,3PM 0-2ft,3PA 0-2ft,Pct_3PM_0_2ft,3PM 2-4ft,3PA 2-4ft,Pct_3PM_2_4ft,3PM 4-6ft,3PA 4-6ft,Pct_3PM_4_6ft,3PM 6+ft,3PA 6+ft,Pct_3PM_6plus,MIN_onoff,On ORtg,Off ORtg,On Net,On DRtg,Off DRtg,Off Net,Floor Net,PO_Tm,PO_G,PO_GS,PO_MPG,PO_FG,PO_FGA,PO_FG%,PO_3P,PO_3PA,PO_3P%,PO_eFG%,PO_TS%,PO_FT,PO_FTA,PO_FT%,PO_ORB,PO_DRB,PO_TRB,PO_AST,PO_STL,PO_BLK,PO_TOV,PO_PF,PO_PPG,MIN_pt,Plays,Isolation_Poss,Isolation_PTS,Isolation_PPP,Isolation_eFG,PnR_BallHandler_Poss,PnR_BallHandler_PTS,PnR_BallHandler_PPP,PnR_BallHandler_eFG,PnR_Rollman_Poss,PnR_Rollman_PTS,PnR_Rollman_PPP,PnR_Rollman_eFG,PostUp_Poss,PostUp_PTS,PostUp_PPP,PostUp_eFG,SpotUp_Poss,SpotUp_PTS,SpotUp_PPP,SpotUp_eFG,Handoff_Poss,Handoff_PTS,Handoff_PPP,Handoff_eFG,Cut_Poss,Cut_PTS,Cut_PPP,Cut_eFG,OffScreen_Poss,OffScreen_PTS,OffScreen_PPP,OffScreen_eFG,Transition_Poss,Transition_PTS,Transition_PPP,Transition_eFG,Misc_Poss,Misc_PTS,Misc_PPP,Misc_eFG,WS_actual,ValueIndex,DollarPerWS,ScorePerUsage
kavian hawes,1,170940,face,Hurricanes,PF/C,33.0,82 -             6'10“;,230,11.0,25,7,"#2, Hurricanes, 2043",,"Cleveland Heights, Ohio",United States,,30000000,2,Introverted,37.5,82.0,82.0,31.4,30.0,9.5,1.5,1.0,1.8,2.8,0.565,0.879,0.418,0.654,0.598,-0.9,3.4,2.4,6.6,4.4,11.0,0.2,121.6,110.6,11.0,28.3,16.3,2.9,8.4,23.3,16.0,8.8,1.5,5.0,10.9,35.6,"2,734,791","146,505,010",5.0,5.0,Post Scorer,Mobile Big,20,14,17,20,14,20,11,18,16,7,10,13,16,9,17,16,17,19,20,16,20,8,19,18,19,18,14,8,10,13,18,19,11.2,19.7,1.3,3.1,6.4,7.2,2.5,7.0,9.5,1.5,0.95,1.79,2.8,2.3,2571.4,28.3,16.3,6.6,4.4,11.0,0.205,2.4,-0.9,3.4,2.9,7.8,6.7,11.8,121.6,110.6,11.0,4.1,1.6,2.5,0.654,0.158,0.367,8.4,23.3,16.0,8.8,1.5,5.0,10.9,35.6,10.4,6.3,47.0,0.4,9.4,0.412,2571.4,93.0,1.1,568.0,6.9,0.0,0.0,32.0,0.4,7.0,0.1,2571.4,547.0,798.0,0.685,145.0,327.0,0.443,109.0,220.0,0.495,7.0,18.0,0.389,107.0,256.0,0.418,594.0,522.0,0.879,273.0,560.0,0.488,363.0,548.0,0.662,139.0,269.0,0.517,140.0,242.0,0.579,0.0,5.0,0.0,9.0,31.0,0.29,33.0,81.0,0.407,65.0,139.0,0.468,2571,126.7,113.1,13.6,111.3,115.2,-3.9,17.5,Hurricanes,12.0,12.0,37.6,8.8,16.5,0.535,0.8,2.9,0.257,0.558,0.609,4.2,4.7,0.893,3.4,9.8,13.2,2.6,0.75,1.83,1.3,2.6,22.6,2571.4,2058.0,2.0,4.0,2.0,0.0,343.0,462.0,1.35,0.7,138.0,127.0,0.92,0.443,176.0,242.0,1.38,0.777,392.0,524.0,1.34,0.693,10.0,9.0,0.9,0.563,1.0,0.0,0.0,0.0,610.0,606.0,0.99,0.461,332.0,387.0,1.17,0.602,54.0,51.0,0.94,0.516,11.0,0.4633333333333333,2727272.727272727,0.8426966292134831
dion sowder,2,62373,face,Kings,PF,13.0,82 -             6'10“;,240,9.7,30,12,"#1, Stonecutters, 2038",,"North Las Vegas, Nevada",United States,,35000000,2,Driven,37.3,81.0,80.0,32.1,27.4,9.1,5.3,1.4,1.0,3.02,0.503,0.828,0.352,0.588,0.554,2.6,4.1,6.7,4.8,4.9,9.7,0.2,117.8,109.0,8.8,24.3,11.4,5.7,9.0,18.0,13.6,24.6,2.0,2.3,11.5,32.6,"3,614,522","196,095,335",5.0,5.0,Versatile Big,Chaser,19,14,18,16,15,12,15,14,20,14,19,17,11,15,14,15,17,19,15,17,19,13,16,16,19,19,19,12,14,13,13,14,10.7,21.3,2.2,6.1,3.8,4.6,3.0,6.2,9.1,5.3,1.41,0.95,3.0,1.9,2604.1,24.3,11.4,4.8,4.9,9.7,0.178,6.7,2.6,4.1,5.7,15.5,5.4,11.6,117.8,109.0,8.8,1.8,-0.6,2.4,0.588,0.288,0.216,9.0,18.0,13.6,24.6,2.0,2.3,11.5,32.6,7.2,10.5,51.0,-0.2,8.5,0.352,2604.1,104.0,1.3,660.0,8.1,0.0,0.0,27.0,0.3,6.0,0.1,2604.1,409.0,607.0,0.674,120.0,320.0,0.375,142.0,258.0,0.55,22.0,42.0,0.524,175.0,497.0,0.352,373.0,309.0,0.828,168.0,409.0,0.411,303.0,558.0,0.543,136.0,277.0,0.491,261.0,480.0,0.544,2.0,14.0,0.143,23.0,97.0,0.237,31.0,117.0,0.265,119.0,269.0,0.442,2604,118.5,121.7,-3.2,108.3,113.3,-5.0,1.8,Kings,27.0,27.0,38.7,13.0,24.3,0.537,2.6,7.0,0.367,0.59,0.623,5.1,6.4,0.802,2.4,6.6,9.0,4.9,1.48,0.7,3.1,2.7,33.7,2604.1,2108.0,108.0,85.0,0.79,0.403,454.0,514.0,1.13,0.599,116.0,105.0,0.91,0.44,449.0,532.0,1.18,0.668,459.0,451.0,0.98,0.51,68.0,64.0,0.94,0.574,7.0,6.0,0.86,0.5,219.0,207.0,0.95,0.509,196.0,200.0,1.02,0.5,32.0,30.0,0.94,0.522,9.7,0.43999999999999995,3608247.4226804124,0.8404907975460122
zaire phifer,3,159800,face,Vipers,SG,23.0,79 -             6'7“;,208,7.5,25,7,"#1, Vipers, 2043",,"Spokane Valley, Washington",United States,,30000000,2,Friendly,39.9,70.0,70.0,30.6,31.8,5.7,4.5,1.7,0.5,3.41,0.512,0.905,0.404,0.643,0.596,2.7,4.5,7.2,4.9,2.7,7.5,0.2,118.1,114.7,3.4,28.9,14.2,5.0,4.5,14.9,9.8,27.7,2.8,1.3,12.1,40.3,"3,977,093","177,560,630",5.0,5.0,Secondary Creator,Wing Stopper,19,19,20,16,17,19,19,16,19,17,19,17,19,19,16,9,17,17,16,19,15,18,3,7,13,16,18,10,20,15,16,16,11.3,22.0,3.7,9.1,5.6,6.2,1.3,4.4,5.7,4.5,1.73,0.49,3.4,1.6,2143.0,28.9,14.2,4.9,2.7,7.5,0.169,7.2,2.7,4.5,5.0,13.5,7.5,12.3,118.1,114.7,3.4,5.3,1.1,4.1,0.643,0.414,0.28,4.5,14.9,9.8,27.7,2.8,1.3,12.1,40.3,6.1,14.2,60.6,0.9,9.0,0.404,2143.0,17.0,0.2,372.0,5.3,0.0,0.0,35.0,0.5,9.0,0.1,2143.0,323.0,447.0,0.723,128.0,269.0,0.476,64.0,138.0,0.464,17.0,49.0,0.347,258.0,639.0,0.404,431.0,390.0,0.905,158.0,315.0,0.502,250.0,491.0,0.509,136.0,287.0,0.474,246.0,449.0,0.548,4.0,28.0,0.143,51.0,153.0,0.333,87.0,197.0,0.442,116.0,261.0,0.444,2143,122.8,118.6,4.2,113.5,118.2,-4.7,8.9,Vipers,7.0,7.0,34.7,13.4,25.7,0.522,3.1,8.6,0.367,0.583,0.631,6.7,7.7,0.87,1.4,4.7,6.1,6.4,1.71,0.14,4.3,1.4,36.7,2143.0,1942.0,519.0,523.0,1.01,0.55,4.0,3.0,0.75,1.5,163.0,167.0,1.02,0.453,253.0,354.0,1.4,0.753,601.0,723.0,1.2,0.625,107.0,115.0,1.07,0.563,126.0,126.0,1.0,0.46,19.0,19.0,1.0,0.583,147.0,171.0,1.16,0.636,3.0,2.0,0.67,0.333,7.5,0.4166666666666667,4000000.0,0.7890818858560795
raekwon pack,4,148028,face,Jailbirds,PF/SF,24.0,81 -             6'9“;,229,5.1,28,9,"#8, Vipers, 2041",,North Bay,Canada,,26000000,1+1p,Charismatic,16.2,80.0,77.0,29.2,13.3,6.5,2.1,1.3,1.3,1.51,0.447,0.876,0.416,0.589,0.553,0.6,1.9,2.5,2.0,3.2,5.1,0.1,115.3,113.8,1.5,15.0,-0.5,2.7,6.3,16.8,11.6,9.8,2.2,3.7,11.8,19.2,"5,070,582","246,905,659",5.0,5.0,Glue Guy,Wing Stopper,14,3,18,17,16,14,14,14,8,11,11,14,16,13,18,16,19,13,18,19,19,19,14,19,17,19,19,10,14,15,12,17,4.6,10.4,2.2,5.3,1.9,2.1,1.7,4.8,6.5,2.1,1.29,1.29,1.5,2.3,2337.3,15.0,-0.5,2.0,3.2,5.1,0.105,2.5,0.6,1.9,2.7,7.2,2.4,6.6,115.3,113.8,1.5,-1.4,-0.4,-1.1,0.589,0.508,0.205,6.3,16.8,11.6,9.8,2.2,3.7,11.8,19.2,3.3,3.0,26.3,0.7,9.6,0.416,2337.3,73.0,0.9,632.0,7.9,0.0,0.0,23.0,0.3,9.0,0.1,2337.3,106.0,198.0,0.535,50.0,126.0,0.397,31.0,68.0,0.456,8.0,15.0,0.533,175.0,421.0,0.416,170.0,149.0,0.876,55.0,172.0,0.32,105.0,224.0,0.469,76.0,161.0,0.472,134.0,271.0,0.494,4.0,21.0,0.19,23.0,66.0,0.348,53.0,123.0,0.431,95.0,211.0,0.45,,,,,,,,,Vipers,7.0,7.0,29.2,4.4,9.9,0.449,2.6,5.7,0.45,0.58,0.616,1.6,1.6,1.0,2.3,3.0,5.3,2.0,1.14,1.43,1.9,2.7,13.0,2337.3,1007.0,80.0,68.0,0.85,0.444,14.0,16.0,1.14,0.625,111.0,117.0,1.05,0.535,120.0,144.0,1.2,0.647,386.0,448.0,1.16,0.618,64.0,53.0,0.83,0.435,65.0,43.0,0.66,0.367,21.0,18.0,0.86,0.441,124.0,122.0,0.98,0.495,22.0,19.0,0.86,0.5,5.1,0.3,5098039.215686275,0.6927083333333334
stanley ogide,5,142953,face,Hurricanes,SG,17.0,81 -             6'9“;,221,9.5,28,8,"#5, Hurricanes, 2042",,Orlu,Nigeria,,30000000,2,Egotistical,34.6,82.0,82.0,32.6,20.2,6.1,6.0,1.6,1.3,2.33,0.476,0.844,0.363,0.596,0.555,3.8,3.5,7.2,5.3,4.2,9.5,0.2,121.2,111.9,9.3,20.8,7.1,6.3,5.6,14.2,10.0,26.3,2.4,3.6,12.1,25.7,"3,152,091","175,545,180",5.0,5.0,Secondary Creator,Wing Stopper,19,15,17,15,18,19,11,18,17,18,14,15,17,19,16,3,16,18,18,14,18,19,13,19,19,19,19,6,15,13,14,17,7.3,15.3,2.4,6.6,3.2,3.8,1.7,4.5,6.1,6.0,1.6,1.33,2.3,2.5,2673.2,20.8,7.1,5.3,4.2,9.5,0.171,7.2,3.8,3.5,6.3,16.9,5.1,9.7,121.2,111.9,9.3,5.2,3.0,2.2,0.596,0.434,0.251,5.6,14.2,10.0,26.3,2.4,3.6,12.1,25.7,6.9,9.5,42.9,0.0,8.2,0.363,2673.2,17.0,0.2,520.0,6.3,0.0,0.0,22.0,0.3,11.0,0.1,2673.2,268.0,402.0,0.667,52.0,116.0,0.448,46.0,115.0,0.4,34.0,77.0,0.442,198.0,545.0,0.363,315.0,266.0,0.844,116.0,232.0,0.5,170.0,370.0,0.459,112.0,269.0,0.416,200.0,384.0,0.521,3.0,25.0,0.12,32.0,126.0,0.254,60.0,170.0,0.353,103.0,224.0,0.46,2673,122.6,120.7,1.9,112.7,112.6,0.1,1.8,Hurricanes,12.0,12.0,38.6,7.4,17.8,0.416,2.5,7.3,0.345,0.486,0.549,5.3,6.4,0.831,2.3,5.3,7.6,6.5,1.75,1.0,2.5,2.8,22.7,2673.2,1553.0,397.0,415.0,1.05,0.537,14.0,29.0,2.07,1.136,116.0,102.0,0.88,0.429,219.0,283.0,1.29,0.706,409.0,428.0,1.05,0.563,147.0,134.0,0.91,0.48,104.0,101.0,0.97,0.472,34.0,16.0,0.47,0.196,109.0,129.0,1.18,0.615,4.0,4.0,1.0,0.5,9.5,0.5266666666666667,3157894.736842105,0.7859922178988327
xavi rivilla,6,147772,face,Renegades,PF,10.0,83 -             6'11“;,257,10.0,27,9,"#7, Stonecutters, 2041",,,Spain,,25000000,1,Relaxed,26.7,82.0,74.0,31.6,15.7,8.6,4.3,0.9,1.1,1.48,0.532,0.76,0.448,0.621,0.592,2.6,2.2,4.8,6.1,3.9,10.0,0.2,128.6,112.4,16.2,19.0,4.6,4.5,7.2,21.1,14.3,19.4,1.4,2.8,10.4,19.4,"2,492,901","134,533,535",5.0,5.0,Interior Playmaker,Mobile Big,15,8,16,14,19,4,19,14,10,19,19,19,3,13,15,17,17,13,11,6,19,8,19,15,19,18,15,10,14,14,2,18,6.0,11.3,1.4,3.0,2.4,3.1,2.1,6.5,8.6,4.3,0.9,1.07,1.5,1.5,2590.4,19.0,4.6,6.1,3.9,10.0,0.186,4.8,2.6,2.2,4.5,12.1,4.1,9.4,128.6,112.4,16.2,4.6,3.0,1.6,0.621,0.268,0.274,7.2,21.1,14.3,19.4,1.4,2.8,10.4,19.4,7.4,6.2,31.5,0.6,7.3,0.44,2590.4,209.0,2.5,628.0,7.7,0.0,0.0,38.0,0.5,6.0,0.1,2590.4,283.0,425.0,0.666,81.0,203.0,0.399,17.0,48.0,0.354,1.0,3.0,0.333,111.0,248.0,0.448,254.0,193.0,0.76,123.0,283.0,0.435,203.0,336.0,0.604,86.0,162.0,0.531,81.0,146.0,0.555,1.0,7.0,0.143,26.0,61.0,0.426,38.0,82.0,0.463,46.0,98.0,0.469,2590,122.9,115.4,7.6,112.4,116.0,-3.6,11.2,Renegades,4.0,4.0,29.8,5.0,10.5,0.476,1.5,2.8,0.545,0.548,0.566,0.8,0.8,1.0,1.8,5.8,7.5,2.3,0.5,0.75,1.5,2.0,12.3,2590.4,1140.0,48.0,55.0,1.15,0.548,248.0,311.0,1.25,0.698,81.0,62.0,0.77,0.361,94.0,105.0,1.12,0.583,290.0,367.0,1.27,0.687,11.0,17.0,1.55,0.75,5.0,6.0,1.2,1.5,179.0,159.0,0.89,0.42,156.0,172.0,1.1,0.583,28.0,23.0,0.82,0.333,10.0,0.58,2500000.0,0.8092783505154639
zeke barry,7,154968,face,Pilots,PF,4.0,84 -             7'0“;,244,7.9,25,6,"#2, Pilots, 2044",UConn,"Allentown, Pennsylvania",United States,,25000000,1,Egotistical,32.4,81.0,81.0,32.8,28.3,9.8,2.1,1.2,2.6,3.1,0.585,0.883,0.224,0.645,0.589,-4.3,5.1,0.8,3.3,4.6,7.9,0.1,115.1,110.4,4.7,24.2,11.6,1.9,4.2,24.0,14.8,10.1,1.6,7.0,12.4,31.7,"3,147,232","174,127,170",5.0,5.0,Versatile Big,Mobile Big,19,13,15,15,19,2,8,20,15,5,13,14,5,5,17,19,10,20,13,16,17,15,20,18,18,20,14,14,15,12,16,17,11.1,18.9,0.2,0.7,6.0,6.7,1.3,8.4,9.8,2.1,1.16,2.62,3.1,2.4,2655.7,24.2,11.6,3.3,4.6,7.9,0.144,0.8,-4.3,5.1,1.9,5.1,6.5,11.1,115.1,110.4,4.7,2.2,-0.7,2.9,0.645,0.038,0.356,4.2,24.0,14.8,10.1,1.6,7.0,12.4,31.7,3.5,4.1,40.0,-0.2,10.8,0.104,2655.7,166.0,2.0,618.0,7.6,0.0,0.0,53.0,0.7,8.0,0.1,2655.7,633.0,918.0,0.69,122.0,245.0,0.498,127.0,302.0,0.421,2.0,10.0,0.2,13.0,58.0,0.224,546.0,482.0,0.883,273.0,543.0,0.503,308.0,488.0,0.631,108.0,190.0,0.568,208.0,312.0,0.667,0.0,2.0,0.0,3.0,10.0,0.3,2.0,16.0,0.125,8.0,30.0,0.267,2656,117.6,114.2,3.4,112.8,116.4,-3.5,7.0,Pilots,7.0,7.0,36.2,14.0,24.7,0.566,0.3,1.0,0.286,0.572,0.623,7.0,8.1,0.86,1.0,6.9,7.9,1.7,1.43,2.71,3.7,1.9,35.3,2655.7,1992.0,3.0,7.0,2.33,0.5,567.0,702.0,1.24,0.652,247.0,214.0,0.87,0.427,472.0,594.0,1.26,0.7,179.0,171.0,0.96,0.432,47.0,44.0,0.94,0.559,1.0,0.0,0.0,0.0,233.0,245.0,1.05,0.54,210.0,243.0,1.16,0.545,33.0,38.0,1.15,0.619,7.9,0.392,3164556.9620253164,0.8927444794952681
cedric rodgers,8,64635,face,Kings,SF,0.0,80 -             6'8“;,200,10.1,31,12,"#2, Predators, 2038",Michigan State,"Pickerington, Ohio",United States,,40000000,2,Eccentric,18.0,77.0,77.0,31.7,20.3,6.2,6.5,1.9,0.2,2.1,0.502,0.852,0.376,0.609,0.575,4.9,1.5,6.4,5.9,4.3,10.1,0.2,125.6,110.2,15.4,20.9,6.6,5.2,5.6,13.0,9.4,26.7,2.7,0.5,11.2,23.6,"3,941,257","200,593,550",5.0,5.0,Secondary Creator,Wing Stopper,20,14,19,16,18,10,20,16,19,13,17,19,17,19,17,8,9,11,19,18,11,20,17,4,17,17,17,11,14,17,16,7,7.7,15.3,2.2,5.9,2.8,3.2,1.8,4.4,6.2,6.5,1.87,0.19,2.1,1.3,2443.0,20.9,6.6,5.9,4.3,10.1,0.199,6.4,4.9,1.5,5.2,14.1,5.9,10.8,125.6,110.2,15.4,1.8,-0.4,2.2,0.609,0.387,0.213,5.6,13.0,9.4,26.7,2.7,0.5,11.2,23.6,7.4,9.5,41.2,0.2,7.4,0.376,2443.0,17.0,0.2,447.0,5.8,0.0,0.0,26.0,0.3,7.0,0.1,2443.0,312.0,458.0,0.681,57.0,128.0,0.445,33.0,77.0,0.429,17.0,57.0,0.298,171.0,455.0,0.376,250.0,213.0,0.852,109.0,247.0,0.441,179.0,356.0,0.503,113.0,232.0,0.487,189.0,340.0,0.556,4.0,19.0,0.211,30.0,109.0,0.275,48.0,134.0,0.358,89.0,193.0,0.461,2443,119.3,120.1,-0.8,108.7,112.1,-3.4,2.6,Kings,27.0,27.0,37.3,8.6,17.7,0.486,1.9,6.5,0.295,0.541,0.584,3.7,4.3,0.878,1.7,6.0,7.7,6.7,2.11,0.15,2.9,2.1,22.9,2443.0,1426.0,289.0,264.0,0.91,0.466,8.0,8.0,1.0,0.5,137.0,135.0,0.99,0.51,375.0,525.0,1.4,0.771,399.0,407.0,1.02,0.525,67.0,58.0,0.87,0.449,51.0,40.0,0.78,0.38,14.0,16.0,1.14,0.556,84.0,95.0,1.13,0.605,2.0,4.0,2.0,1.0,10.1,0.3825,3960396.0396039607,0.8601694915254237
kenney holba,9,102870,face,Predators,PF/C,8.0,85 -             7'1“;,240,9.9,29,10,"#10, Predators, 2040",Georgetown,"Springfield, Illinois",United States,,20000000,1,Charismatic,34.4,80.0,80.0,29.5,21.3,9.3,2.9,0.8,1.8,2.1,0.606,0.694,0.0,0.632,0.606,0.8,4.0,4.8,5.5,4.4,9.9,0.2,123.7,109.2,14.5,23.5,9.4,4.1,8.8,23.3,16.0,14.5,1.3,5.3,11.1,26.5,"2,019,654","99,467,950",5.0,5.0,Interior Playmaker,Mobile Big,19,1,10,10,7,3,17,17,19,14,16,18,5,19,5,10,16,16,5,11,15,2,17,17,19,18,16,12,13,11,15,17,8.7,14.4,0.0,0.1,3.9,5.6,2.5,6.8,9.3,2.9,0.78,1.81,2.1,2.4,2364.0,23.5,9.4,5.5,4.4,9.9,0.201,4.8,0.8,4.0,4.1,11.1,5.0,9.7,123.7,109.2,14.5,1.9,0.5,1.3,0.632,0.004,0.386,8.8,23.3,16.0,14.5,1.3,5.3,11.1,26.5,7.1,3.4,36.7,-0.1,9.3,0.0,2364.0,171.0,2.1,579.0,7.2,0.0,0.0,28.0,0.4,9.0,0.1,2364.0,530.0,748.0,0.709,119.0,269.0,0.442,26.0,84.0,0.31,21.0,43.0,0.488,0.0,5.0,0.0,444.0,308.0,0.694,269.0,491.0,0.548,265.0,392.0,0.676,75.0,135.0,0.556,87.0,131.0,0.664,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2364,122.1,119.1,3.1,111.4,109.8,1.6,1.5,Predators,24.0,24.0,34.6,6.8,11.0,0.624,0.0,0.0,0.0,0.624,0.632,2.7,4.5,0.598,2.3,7.9,10.2,2.6,0.71,1.71,1.8,2.7,16.3,2364.0,1488.0,5.0,9.0,1.8,1.0,302.0,410.0,1.36,0.717,89.0,85.0,0.96,0.446,237.0,304.0,1.28,0.698,199.0,230.0,1.16,0.589,69.0,55.0,0.8,0.431,5.0,4.0,0.8,0.5,268.0,249.0,0.93,0.495,253.0,281.0,1.11,0.613,61.0,54.0,0.89,0.523,9.9,0.7,2020202.0202020202,0.8037735849056604
derrick lynch,10,137060,face,Predators,SF,23.0,80 -             6'8“;,206,8.5,27,8,"#3, Predators, 2042",Stanford,"Boise, Idaho",United States,,30000000,1,Egotistical,29.1,74.0,74.0,33.2,15.8,8.1,6.7,1.7,1.1,1.85,0.437,0.887,0.314,0.541,0.505,3.7,3.1,6.7,4.0,4.5,8.5,0.2,121.0,109.6,11.4,17.9,2.9,5.4,6.3,18.6,12.5,25.5,2.4,2.9,11.2,20.6,"3,530,984","180,639,255",5.0,5.0,Secondary Creator,Wing Stopper,18,17,16,16,17,17,16,17,16,14,17,15,17,19,16,7,16,17,16,17,17,20,16,14,11,18,15,16,8,14,18,15,5.9,13.6,1.9,5.9,2.1,2.4,2.1,6.1,8.1,6.7,1.66,1.11,1.9,2.3,2455.6,17.9,2.9,4.0,4.5,8.5,0.166,6.7,3.7,3.1,5.4,14.7,4.1,9.2,121.0,109.6,11.4,2.7,1.0,1.7,0.541,0.435,0.176,6.3,18.6,12.5,25.5,2.4,2.9,11.2,20.6,7.0,6.9,36.0,-0.7,7.4,0.313,2455.6,33.0,0.4,507.0,6.9,0.0,0.0,28.0,0.4,12.0,0.2,2455.6,179.0,264.0,0.678,44.0,114.0,0.386,44.0,108.0,0.407,35.0,82.0,0.427,137.0,437.0,0.314,177.0,157.0,0.887,76.0,185.0,0.411,136.0,300.0,0.453,70.0,192.0,0.365,157.0,328.0,0.479,4.0,22.0,0.182,21.0,84.0,0.25,29.0,117.0,0.248,83.0,214.0,0.388,2455,121.4,120.3,1.0,111.3,110.0,1.3,-0.2,Predators,23.0,23.0,35.9,5.9,13.2,0.449,2.3,7.2,0.315,0.535,0.568,2.0,2.3,0.87,1.3,4.6,6.0,7.2,2.57,1.0,1.5,2.4,16.1,2455.6,1196.0,273.0,226.0,0.83,0.43,11.0,10.0,0.91,0.5,108.0,87.0,0.81,0.401,262.0,333.0,1.27,0.698,294.0,263.0,0.89,0.474,96.0,79.0,0.82,0.439,48.0,31.0,0.65,0.267,8.0,8.0,1.0,0.571,91.0,112.0,1.23,0.606,5.0,4.0,0.8,0.25,8.5,0.4633333333333333,3529411.7647058824,0.7669902912621359
